sku,produto,quantidade_vendida,primeiro_nome,sobrenome,data,loja,preco_unitario,faturamento,dia,mes_num,mes,ano,semana,nome_completo
HL1918,iPhone,4,Karine,Barros,2018-03-22,Belo Horizonte,5300.0,21200.0,22,3,Mar,2018,Qui,Karine Barros
HL4379,Televisão,1,Pedro,Costa,2018-03-27,Belo Horizonte,2500.0,2500.0,27,3,Mar,2018,Ter,Pedro Costa
HL8851,Notebook,4,Arthur,Rocha,2018-11-25,Belo Horizonte,3500.0,14000.0,25,11,Nov,2018,Dom,Arthur Rocha
HL7348,SmartWatch,2,Natalia,Accioly,2018-08-07,Belo Horizonte,1400.0,2800.0,7,8,Ago,2018,Ter,Natalia Accioly
HL4379,Televisão,5,Raíssa,Oros,2018-02-17,Belo Horizonte,2500.0,12500.0,17,2,Fev,2018,Sáb,Raíssa Oros
HL4379,Televisão,1,Katharina,Barros,2018-02-16,Belo Horizonte,2500.0,2500.0,16,2,Fev,2018,Sex,Katharina Barros
HL4379,Televisão,1,Lara,Moreira,2018-10-25,Belo Horizonte,2500.0,2500.0,25,10,Out,2018,Qui,Lara Moreira
HL1148,Câmera,2,Carlos,Mesquita,2018-01-11,Belo Horizonte,2100.0,4200.0,11,1,Jan,2018,Qui,Carlos Mesquita
HL1918,iPhone,1,Carolina,Bernardes,2018-03-25,Belo Horizonte,5300.0,5300.0,25,3,Mar,2018,Dom,Carolina Bernardes
HL1918,iPhone,3,Marcela,Gasperi,2018-12-31,Belo Horizonte,5300.0,15900.0,31,12,Dez,2018,Seg,Marcela Gasperi
HL8851,Notebook,1,Gustavo,Junior,2018-04-12,Belo Horizonte,3500.0,3500.0,12,4,Abr,2018,Qui,Gustavo Junior
HL1918,iPhone,4,Matheus,Silva,2018-07-03,Belo Horizonte,5300.0,21200.0,3,7,Jul,2018,Ter,Matheus Silva
HL1148,Câmera,1,Danilo,Mendonça,2018-04-19,Belo Horizonte,2100.0,2100.0,19,4,Abr,2018,Qui,Danilo Mendonça
HL1918,iPhone,4,Wen,Braga,2018-05-01,Belo Horizonte,5300.0,21200.0,1,5,Mai,2018,Ter,Wen Braga
HL1918,iPhone,3,Gabriel,Brito,2018-04-28,Belo Horizonte,5300.0,15900.0,28,4,Abr,2018,Sáb,Gabriel Brito
HL7348,SmartWatch,4,Jonatas,Passos,2018-08-14,Belo Horizonte,1400.0,5600.0,14,8,Ago,2018,Ter,Jonatas Passos
HL1918,iPhone,1,Gabriel,Rocha,2018-06-11,Belo Horizonte,5300.0,5300.0,11,6,Jun,2018,Seg,Gabriel Rocha
HL9962,Android,4,Beatriz,Rocha,2018-01-11,Belo Horizonte,3400.0,13600.0,11,1,Jan,2018,Qui,Beatriz Rocha
HL4379,Televisão,1,Adrielle,Gabriel,2018-04-08,Belo Horizonte,2500.0,2500.0,8,4,Abr,2018,Dom,Adrielle Gabriel
HL8851,Notebook,1,Caroll,Johnson,2018-12-11,Belo Horizonte,3500.0,3500.0,11,12,Dez,2018,Ter,Caroll Johnson
HL4379,Televisão,4,Bruna,Franco,2018-10-26,Belo Horizonte,2500.0,10000.0,26,10,Out,2018,Sex,Bruna Franco
HL2714,Tablet,4,Maria,Motta,2018-05-08,Belo Horizonte,1600.0,6400.0,8,5,Mai,2018,Ter,Maria Motta
HL1918,iPhone,3,Priscila,Garcia,2018-10-24,Belo Horizonte,5300.0,15900.0,24,10,Out,2018,Qua,Priscila Garcia
HL1918,iPhone,5,Andressa,Nóbrega,2018-09-18,Belo Horizonte,5300.0,26500.0,18,9,Set,2018,Ter,Andressa Nóbrega
HL4379,Televisão,2,Ana,Miura,2018-07-24,Belo Horizonte,2500.0,5000.0,24,7,Jul,2018,Ter,Ana Miura
HL8851,Notebook,2,Giulia,Pessanha,2018-11-13,Belo Horizonte,3500.0,7000.0,13,11,Nov,2018,Ter,Giulia Pessanha
HL7348,SmartWatch,3,Samara,Pinto,2018-01-10,Belo Horizonte,1400.0,4200.0,10,1,Jan,2018,Qua,Samara Pinto
HL4379,Televisão,4,Caio,Silva,2018-11-21,Belo Horizonte,2500.0,10000.0,21,11,Nov,2018,Qua,Caio Silva
HL7348,SmartWatch,1,Myllena,Carneiro,2018-01-22,Belo Horizonte,1400.0,1400.0,22,1,Jan,2018,Seg,Myllena Carneiro
HL9962,Android,3,Juan,Fernandes,2018-01-09,Belo Horizonte,3400.0,10200.0,9,1,Jan,2018,Ter,Juan Fernandes
HL1148,Câmera,4,Raphael,Mattos,2018-06-22,Belo Horizonte,2100.0,8400.0,22,6,Jun,2018,Sex,Raphael Mattos
HL9962,Android,3,Gustavo,Junior,2018-02-23,Belo Horizonte,3400.0,10200.0,23,2,Fev,2018,Sex,Gustavo Junior
HL1148,Câmera,2,Célio,Xavier,2018-06-06,Belo Horizonte,2100.0,4200.0,6,6,Jun,2018,Qua,Célio Xavier
HL2714,Tablet,4,Diego,Rodrigues,2018-10-13,Belo Horizonte,1600.0,6400.0,13,10,Out,2018,Sáb,Diego Rodrigues
HL1148,Câmera,5,Guilherme,Monteiro,2018-05-18,Belo Horizonte,2100.0,10500.0,18,5,Mai,2018,Sex,Guilherme Monteiro
HL1148,Câmera,1,Anderson,Martins,2018-04-22,Belo Horizonte,2100.0,2100.0,22,4,Abr,2018,Dom,Anderson Martins
HL9962,Android,1,Júlia,Almeida,2018-12-06,Belo Horizonte,3400.0,3400.0,6,12,Dez,2018,Qui,Júlia Almeida
HL2714,Tablet,2,Carolina,Motta,2018-08-06,Belo Horizonte,1600.0,3200.0,6,8,Ago,2018,Seg,Carolina Motta
HL9962,Android,5,Bernardo,Nauenberg,2018-02-21,Belo Horizonte,3400.0,17000.0,21,2,Fev,2018,Qua,Bernardo Nauenberg
HL4379,Televisão,4,Giuseppe,Bhering,2018-05-13,Belo Horizonte,2500.0,10000.0,13,5,Mai,2018,Dom,Giuseppe Bhering
HL2714,Tablet,3,Chan,Santos,2018-06-20,Belo Horizonte,1600.0,4800.0,20,6,Jun,2018,Qua,Chan Santos
HL1918,iPhone,2,Rafaela,Ferreira,2018-09-14,Belo Horizonte,5300.0,10600.0,14,9,Set,2018,Sex,Rafaela Ferreira
HL8851,Notebook,5,Erick,Soares,2018-12-08,Belo Horizonte,3500.0,17500.0,8,12,Dez,2018,Sáb,Erick Soares
HL8851,Notebook,5,Jéssica,Resinente,2018-05-08,Belo Horizonte,3500.0,17500.0,8,5,Mai,2018,Ter,Jéssica Resinente
HL9962,Android,2,Hanna,Fonseca,2018-11-16,Belo Horizonte,3400.0,6800.0,16,11,Nov,2018,Sex,Hanna Fonseca
HL8851,Notebook,3,Carolina,Carneiro,2018-03-19,Belo Horizonte,3500.0,10500.0,19,3,Mar,2018,Seg,Carolina Carneiro
HL1918,iPhone,2,Mariane,Racy,2018-06-08,Belo Horizonte,5300.0,10600.0,8,6,Jun,2018,Sex,Mariane Racy
HL2714,Tablet,3,Deysiane,Bach,2018-05-15,Belo Horizonte,1600.0,4800.0,15,5,Mai,2018,Ter,Deysiane Bach
HL1148,Câmera,5,Thales,Portillo,2018-01-29,Belo Horizonte,2100.0,10500.0,29,1,Jan,2018,Seg,Thales Portillo
HL7348,SmartWatch,5,Rafael,Ramos,2018-01-30,Belo Horizonte,1400.0,7000.0,30,1,Jan,2018,Ter,Rafael Ramos
HL4379,Televisão,3,Gabriella,Sagrillo,2018-01-13,Belo Horizonte,2500.0,7500.0,13,1,Jan,2018,Sáb,Gabriella Sagrillo
HL1148,Câmera,1,João,Tabet,2018-11-02,Belo Horizonte,2100.0,2100.0,2,11,Nov,2018,Sex,João Tabet
HL1148,Câmera,5,Juliana,Huon,2018-10-18,Belo Horizonte,2100.0,10500.0,18,10,Out,2018,Qui,Juliana Huon
HL7348,SmartWatch,5,Mariana,Barrozo,2018-06-15,Belo Horizonte,1400.0,7000.0,15,6,Jun,2018,Sex,Mariana Barrozo
HL1148,Câmera,2,Gabriel,Pereira,2018-01-30,Belo Horizonte,2100.0,4200.0,30,1,Jan,2018,Ter,Gabriel Pereira
HL1148,Câmera,2,Carlos,Souza,2018-05-26,Belo Horizonte,2100.0,4200.0,26,5,Mai,2018,Sáb,Carlos Souza
HL4379,Televisão,2,Thomáz,Bôas,2018-06-30,Belo Horizonte,2500.0,5000.0,30,6,Jun,2018,Sáb,Thomáz Bôas
HL1918,iPhone,4,Pedro,Rodrigues,2018-02-17,Belo Horizonte,5300.0,21200.0,17,2,Fev,2018,Sáb,Pedro Rodrigues
HL9962,Android,2,Rafael,Carneiro,2018-10-06,Belo Horizonte,3400.0,6800.0,6,10,Out,2018,Sáb,Rafael Carneiro
HL2714,Tablet,2,Marina,Delgado,2018-08-11,Belo Horizonte,1600.0,3200.0,11,8,Ago,2018,Sáb,Marina Delgado
HL4379,Televisão,2,Rachel,Restum,2018-09-03,Belo Horizonte,2500.0,5000.0,3,9,Set,2018,Seg,Rachel Restum
HL1918,iPhone,3,Luiza,Cabral,2018-02-18,Belo Horizonte,5300.0,15900.0,18,2,Fev,2018,Dom,Luiza Cabral
HL4379,Televisão,5,Caio,Fernandes,2018-08-13,Belo Horizonte,2500.0,12500.0,13,8,Ago,2018,Seg,Caio Fernandes
HL9962,Android,2,Mariana,Barrozo,2018-04-17,Belo Horizonte,3400.0,6800.0,17,4,Abr,2018,Ter,Mariana Barrozo
HL1918,iPhone,1,Gabriel,Almeida,2018-06-26,Belo Horizonte,5300.0,5300.0,26,6,Jun,2018,Ter,Gabriel Almeida
HL7348,SmartWatch,2,Marcelo,Borges,2018-09-10,Belo Horizonte,1400.0,2800.0,10,9,Set,2018,Seg,Marcelo Borges
HL1918,iPhone,3,Maria,Costa,2018-08-15,Belo Horizonte,5300.0,15900.0,15,8,Ago,2018,Qua,Maria Costa
HL9962,Android,1,Marcos,Nucci,2018-07-17,Belo Horizonte,3400.0,3400.0,17,7,Jul,2018,Ter,Marcos Nucci
HL4379,Televisão,4,Juliana,Guimarães,2018-10-06,Belo Horizonte,2500.0,10000.0,6,10,Out,2018,Sáb,Juliana Guimarães
HL1918,iPhone,4,Jessica,Ferreira,2018-07-13,Belo Horizonte,5300.0,21200.0,13,7,Jul,2018,Sex,Jessica Ferreira
HL1918,iPhone,1,Iuri,Neto,2018-07-04,Belo Horizonte,5300.0,5300.0,4,7,Jul,2018,Qua,Iuri Neto
HL8851,Notebook,1,Breno,Britto,2018-09-14,Belo Horizonte,3500.0,3500.0,14,9,Set,2018,Sex,Breno Britto
HL1148,Câmera,1,Maria,Motta,2018-09-20,Belo Horizonte,2100.0,2100.0,20,9,Set,2018,Qui,Maria Motta
HL1148,Câmera,1,Larissa,Jesus,2018-06-13,Belo Horizonte,2100.0,2100.0,13,6,Jun,2018,Qua,Larissa Jesus
HL2714,Tablet,2,Gabriel,Azevedo,2018-05-28,Belo Horizonte,1600.0,3200.0,28,5,Mai,2018,Seg,Gabriel Azevedo
HL1148,Câmera,3,Pedro,Cardoso,2018-11-23,Belo Horizonte,2100.0,6300.0,23,11,Nov,2018,Sex,Pedro Cardoso
HL7348,SmartWatch,2,Raul,Silveira,2018-01-06,Belo Horizonte,1400.0,2800.0,6,1,Jan,2018,Sáb,Raul Silveira
HL1148,Câmera,5,Eduardo,Silva,2018-12-10,Belo Horizonte,2100.0,10500.0,10,12,Dez,2018,Seg,Eduardo Silva
HL1918,iPhone,2,Henrique,Oliveira,2018-05-21,Belo Horizonte,5300.0,10600.0,21,5,Mai,2018,Seg,Henrique Oliveira
HL1918,iPhone,1,João,Tabet,2018-06-30,Belo Horizonte,5300.0,5300.0,30,6,Jun,2018,Sáb,João Tabet
HL1918,iPhone,1,Luana,Santos,2018-10-24,Belo Horizonte,5300.0,5300.0,24,10,Out,2018,Qua,Luana Santos
HL9962,Android,2,Michelle,Miura,2018-05-02,Belo Horizonte,3400.0,6800.0,2,5,Mai,2018,Qua,Michelle Miura
HL9962,Android,4,Manuela,Ferreira,2018-04-13,Belo Horizonte,3400.0,13600.0,13,4,Abr,2018,Sex,Manuela Ferreira
HL4379,Televisão,2,Roger,Rosa,2018-10-12,Belo Horizonte,2500.0,5000.0,12,10,Out,2018,Sex,Roger Rosa
HL1918,iPhone,4,Caroline,Cavalcanti,2018-05-14,Belo Horizonte,5300.0,21200.0,14,5,Mai,2018,Seg,Caroline Cavalcanti
HL7348,SmartWatch,5,Mariane,Ferreira,2018-08-22,Belo Horizonte,1400.0,7000.0,22,8,Ago,2018,Qua,Mariane Ferreira
HL4379,Televisão,5,Thales,Fanara,2018-09-18,Belo Horizonte,2500.0,12500.0,18,9,Set,2018,Ter,Thales Fanara
HL9962,Android,3,Jessica,Ferreira,2018-11-12,Belo Horizonte,3400.0,10200.0,12,11,Nov,2018,Seg,Jessica Ferreira
HL7348,SmartWatch,2,Allan,Candido,2018-05-20,Belo Horizonte,1400.0,2800.0,20,5,Mai,2018,Dom,Allan Candido
HL9962,Android,5,Rodrigo,Bruno,2018-12-04,Belo Horizonte,3400.0,17000.0,4,12,Dez,2018,Ter,Rodrigo Bruno
HL4379,Televisão,4,Maria,Junior,2018-01-21,Belo Horizonte,2500.0,10000.0,21,1,Jan,2018,Dom,Maria Junior
HL1918,iPhone,1,Pedro,Dalforne,2018-08-07,Belo Horizonte,5300.0,5300.0,7,8,Ago,2018,Ter,Pedro Dalforne
HL1918,iPhone,1,Gabriel,Rocha,2018-05-29,Belo Horizonte,5300.0,5300.0,29,5,Mai,2018,Ter,Gabriel Rocha
HL8851,Notebook,1,Cícero,Lima,2018-04-13,Belo Horizonte,3500.0,3500.0,13,4,Abr,2018,Sex,Cícero Lima
HL1148,Câmera,2,Victoria,Tavares,2018-09-27,Belo Horizonte,2100.0,4200.0,27,9,Set,2018,Qui,Victoria Tavares
HL4379,Televisão,1,Matheus,Moraes,2018-02-07,Belo Horizonte,2500.0,2500.0,7,2,Fev,2018,Qua,Matheus Moraes
HL9962,Android,2,Eric,Neves,2018-03-09,Belo Horizonte,3400.0,6800.0,9,3,Mar,2018,Sex,Eric Neves
HL4379,Televisão,5,João,Araujo,2018-03-17,Belo Horizonte,2500.0,12500.0,17,3,Mar,2018,Sáb,João Araujo
HL1918,iPhone,1,Debora,Silva,2018-12-09,Belo Horizonte,5300.0,5300.0,9,12,Dez,2018,Dom,Debora Silva
HL7348,SmartWatch,4,Lucas,Wanderley,2018-12-12,Belo Horizonte,1400.0,5600.0,12,12,Dez,2018,Qua,Lucas Wanderley
HL9962,Android,2,Raul,Junqueira,2018-11-10,Belo Horizonte,3400.0,6800.0,10,11,Nov,2018,Sáb,Raul Junqueira
HL4379,Televisão,3,Victoria,Mazza,2018-12-27,Belo Horizonte,2500.0,7500.0,27,12,Dez,2018,Qui,Victoria Mazza
HL8851,Notebook,4,Livia,Cozendey,2018-07-08,Belo Horizonte,3500.0,14000.0,8,7,Jul,2018,Dom,Livia Cozendey
HL1918,iPhone,5,Larissa,Vasconcellos,2018-12-22,Belo Horizonte,5300.0,26500.0,22,12,Dez,2018,Sáb,Larissa Vasconcellos
HL4379,Televisão,1,Caio,Moraes,2018-06-27,Belo Horizonte,2500.0,2500.0,27,6,Jun,2018,Qua,Caio Moraes
HL8851,Notebook,5,Bárbara,Lima,2018-08-02,Belo Horizonte,3500.0,17500.0,2,8,Ago,2018,Qui,Bárbara Lima
HL1918,iPhone,5,Caio,Vianna,2018-09-07,Belo Horizonte,5300.0,26500.0,7,9,Set,2018,Sex,Caio Vianna
HL7348,SmartWatch,1,Daniel,Monteiro,2018-05-23,Belo Horizonte,1400.0,1400.0,23,5,Mai,2018,Qua,Daniel Monteiro
HL9962,Android,1,José,Vieira,2018-10-30,Belo Horizonte,3400.0,3400.0,30,10,Out,2018,Ter,José Vieira
HL2714,Tablet,2,Caroline,Delgado,2018-10-05,Belo Horizonte,1600.0,3200.0,5,10,Out,2018,Sex,Caroline Delgado
HL4379,Televisão,1,Bernardo,Ribeiro,2018-12-03,Belo Horizonte,2500.0,2500.0,3,12,Dez,2018,Seg,Bernardo Ribeiro
HL1918,iPhone,1,Guilherme,Rachide,2018-04-25,Belo Horizonte,5300.0,5300.0,25,4,Abr,2018,Qua,Guilherme Rachide
HL9962,Android,1,Vitor,Arruda,2018-10-22,Belo Horizonte,3400.0,3400.0,22,10,Out,2018,Seg,Vitor Arruda
HL1918,iPhone,4,Daniela,Rosa,2018-04-05,Belo Horizonte,5300.0,21200.0,5,4,Abr,2018,Qui,Daniela Rosa
HL9962,Android,2,Gustavo,Accardo,2018-08-15,Belo Horizonte,3400.0,6800.0,15,8,Ago,2018,Qua,Gustavo Accardo
HL7348,SmartWatch,4,Breno,Caputo,2018-06-13,Belo Horizonte,1400.0,5600.0,13,6,Jun,2018,Qua,Breno Caputo
HL7348,SmartWatch,1,Norman,Jimbo,2018-04-07,Belo Horizonte,1400.0,1400.0,7,4,Abr,2018,Sáb,Norman Jimbo
HL8851,Notebook,3,Yasmim,Bittencourt,2018-10-21,Belo Horizonte,3500.0,10500.0,21,10,Out,2018,Dom,Yasmim Bittencourt
HL8851,Notebook,5,Andreza,Ramos,2018-06-15,Belo Horizonte,3500.0,17500.0,15,6,Jun,2018,Sex,Andreza Ramos
HL7348,SmartWatch,3,Luiza,Cabral,2018-07-30,Belo Horizonte,1400.0,4200.0,30,7,Jul,2018,Seg,Luiza Cabral
HL1918,iPhone,5,Marina,Miranda,2018-08-10,Belo Horizonte,5300.0,26500.0,10,8,Ago,2018,Sex,Marina Miranda
HL9962,Android,5,Douglas,Rodrigues,2018-08-17,Belo Horizonte,3400.0,17000.0,17,8,Ago,2018,Sex,Douglas Rodrigues
HL1918,iPhone,5,Pedro,Oliveira,2018-11-28,Belo Horizonte,5300.0,26500.0,28,11,Nov,2018,Qua,Pedro Oliveira
HL2714,Tablet,2,Caio,Ferreira,2018-06-30,Belo Horizonte,1600.0,3200.0,30,6,Jun,2018,Sáb,Caio Ferreira
HL8851,Notebook,4,Raul,Silveira,2018-01-27,Belo Horizonte,3500.0,14000.0,27,1,Jan,2018,Sáb,Raul Silveira
HL2714,Tablet,4,Luiza,Ribeiro,2018-02-12,Belo Horizonte,1600.0,6400.0,12,2,Fev,2018,Seg,Luiza Ribeiro
HL1918,iPhone,4,Jônatas,Castro,2018-02-02,Belo Horizonte,5300.0,21200.0,2,2,Fev,2018,Sex,Jônatas Castro
HL8851,Notebook,1,Camila,Sobral,2018-08-06,Belo Horizonte,3500.0,3500.0,6,8,Ago,2018,Seg,Camila Sobral
HL4379,Televisão,2,Isabela,Chagas,2018-07-28,Belo Horizonte,2500.0,5000.0,28,7,Jul,2018,Sáb,Isabela Chagas
HL1918,iPhone,1,Arthur,Pereira,2018-07-22,Belo Horizonte,5300.0,5300.0,22,7,Jul,2018,Dom,Arthur Pereira
HL9962,Android,3,Jéssica,Stefanelli,2018-02-03,Belo Horizonte,3400.0,10200.0,3,2,Fev,2018,Sáb,Jéssica Stefanelli
HL2714,Tablet,2,Carolina,Bernardes,2018-07-15,Belo Horizonte,1600.0,3200.0,15,7,Jul,2018,Dom,Carolina Bernardes
HL4379,Televisão,1,Mateus,Duque,2018-09-09,Belo Horizonte,2500.0,2500.0,9,9,Set,2018,Dom,Mateus Duque
HL4379,Televisão,4,Marcelo,Magalhães,2018-12-02,Belo Horizonte,2500.0,10000.0,2,12,Dez,2018,Dom,Marcelo Magalhães
HL1148,Câmera,1,Vitor,Arruda,2018-12-16,Belo Horizonte,2100.0,2100.0,16,12,Dez,2018,Dom,Vitor Arruda
HL1918,iPhone,4,Henrique,Oliveira,2018-06-28,Belo Horizonte,5300.0,21200.0,28,6,Jun,2018,Qui,Henrique Oliveira
HL4379,Televisão,2,Eduardo,Ferreira,2018-11-10,Belo Horizonte,2500.0,5000.0,10,11,Nov,2018,Sáb,Eduardo Ferreira
HL1918,iPhone,3,Luã,Sá,2018-02-18,Belo Horizonte,5300.0,15900.0,18,2,Fev,2018,Dom,Luã Sá
HL1918,iPhone,5,Raphael,Coelho,2018-08-11,Belo Horizonte,5300.0,26500.0,11,8,Ago,2018,Sáb,Raphael Coelho
HL2714,Tablet,2,Raíssa,Nimer,2018-03-11,Belo Horizonte,1600.0,3200.0,11,3,Mar,2018,Dom,Raíssa Nimer
HL1918,iPhone,2,Philipe,Morete,2018-01-30,Belo Horizonte,5300.0,10600.0,30,1,Jan,2018,Ter,Philipe Morete
HL2714,Tablet,1,Thaís,Pereira,2018-09-09,Belo Horizonte,1600.0,1600.0,9,9,Set,2018,Dom,Thaís Pereira
HL1918,iPhone,4,Anna,Maia,2018-04-05,Belo Horizonte,5300.0,21200.0,5,4,Abr,2018,Qui,Anna Maia
HL9962,Android,3,Juliana,Guimarães,2018-04-03,Belo Horizonte,3400.0,10200.0,3,4,Abr,2018,Ter,Juliana Guimarães
HL7348,SmartWatch,5,Roberta,Teixeira,2018-10-14,Belo Horizonte,1400.0,7000.0,14,10,Out,2018,Dom,Roberta Teixeira
HL8851,Notebook,5,Gabrielle,Costa,2018-08-09,Belo Horizonte,3500.0,17500.0,9,8,Ago,2018,Qui,Gabrielle Costa
HL1918,iPhone,4,Fabio,Sepúlveda,2018-03-25,Belo Horizonte,5300.0,21200.0,25,3,Mar,2018,Dom,Fabio Sepúlveda
HL2714,Tablet,2,Arthur,Fernandes,2018-04-06,Belo Horizonte,1600.0,3200.0,6,4,Abr,2018,Sex,Arthur Fernandes
HL4379,Televisão,2,Livia,Codeceira,2018-04-18,Belo Horizonte,2500.0,5000.0,18,4,Abr,2018,Qua,Livia Codeceira
